source_file,user_id,date,time,datetime,direction,contact,phone,type,transaction_type,amount,currency,content,status
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-05-31,14:25:56,2024-05-31 14:25:56,received,MobileMoney,MobileMoney,SMS,transfer,2500.0,XAF,Transfert de 2500 FCFA effectue avec succes a KLOUVIS TAHKEPE MANDZE (237677141177) le 2024-05-31 14:25:50. FRAIS 55 FCFA. transaction Id: 9092469256. Reference: 1. Nouveau solde est: 2477 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-07,10:44:09,2024-06-07 10:44:09,received,MobileMoney,MobileMoney,SMS,receive,10000.0,XAF,Vous avez recu 10000 XAF de FELIX JUMBAM NTANI sur votre compte Mobile Money 2024-06-07 10:42:46. Message de l'expediteur: . Votre nouveau solde est de 10427 FCFA. Frais: 0 XAF. Transaction ID: 9147885590. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-07,10:44:55,2024-06-07 10:44:55,received,MobileMoney,MobileMoney,SMS,transfer,7700.0,XAF,Transfert de 7700 FCFA effectue avec succes a KLOUVIS TAHKEPE MANDZE (237677141177) le 2024-06-07 10:44:56. FRAIS 65 FCFA. transaction Id: 9147903462. Reference: 1. Nouveau solde est: 2662 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-07,15:02:56,2024-06-07 15:02:56,received,MobileMoney,MobileMoney,SMS,withdraw,100.0,XAF,An adjustment has been made and 100 XAF has been withdrawn from your mobile money account 46712858 at 2024-06-07 15:02:55. Your new balance: 2562 XAF. Message: MOMO GIFT CAMPAIGN RECOVERY. Financial Transaction Id: 9150030484.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-07,17:34:29,2024-06-07 17:34:29,received,MobileMoney,MobileMoney,SMS,transfer,2100.0,XAF,Transfert de 2100 FCFA effectue avec succes a NALOVA NAWA FAVOUR (237650815419) le 2024-06-07 17:34:30. FRAIS 54 FCFA. transaction Id: 9151361235. Reference: 1. Nouveau solde est: 308 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-08,17:27:07,2024-06-08 17:27:07,received,MobileMoney,MobileMoney,SMS,receive,8000.0,XAF,Vous avez recu 8000 XAF de IDA FALONE KENFACK (237681965784) sur votre compte mobile money à 2024-06-08 17:27:09. Message de l'expéditeur: d. Votre nouveau solde: 8108 XAF. FRAIS: FCFA 0. Financial Transaction Id: 9159280098.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-08,19:04:14,2024-06-08 19:04:14,received,MobileMoney,MobileMoney,SMS,transfer,2600.0,XAF,Transfert de 2600 FCFA effectue avec succes a DORIS PONATIH (237650187750) le 2024-06-08 19:04:10. FRAIS 55 FCFA. transaction Id: 9160159101. Reference: 1. Nouveau solde est: 5453 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-10,13:52:24,2024-06-10 13:52:24,received,MobileMoney,MobileMoney,SMS,transfer,2100.0,XAF,Transfert de 2100 FCFA effectue avec succes a ADAMU NKWAWIR (237677387324) le 2024-06-10 13:52:23. FRAIS 54 FCFA. transaction Id: 9173153154. Reference: 1. Nouveau solde est: 3199 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-13,08:56:15,2024-06-13 08:56:15,received,MobileMoney,MobileMoney,SMS,transfer,550.0,XAF,Transfert de 550 FCFA effectue avec succes a EVELYNE YAAH FINILA (237676421818) le 2024-06-13 08:56:12. FRAIS 0 FCFA. transaction Id: 9195561204. Reference: 1. Nouveau solde est: 2449 FCFA.  Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-14,12:27:38,2024-06-14 12:27:38,received,MobileMoney,MobileMoney,SMS,receive,10000.0,XAF,Vous avez recu 10000 XAF de INASCO MOUNGO JUDITH NJOMMENIE TRIYA sur votre compte Mobile Money 2024-06-14 12:27:36. Message de l'expediteur: . Votre nouveau solde est de 12049 FCFA. Frais: 0 XAF. Transaction ID: 9205293842. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-15,14:30:50,2024-06-15 14:30:50,received,MobileMoney,MobileMoney,SMS,withdraw,11000.0,XAF,"Vous, ZACHARY NYANGOH MANDZE (237677734490) avez effectue avec succes le retrait de 11000 FCFA de votre compte mobile money, chez JULIE NUBIHA TANDAG (237679882210) le 2024-06-15 14:30:49. transaction Id: 9214584708. Votre nouveau solde: 629 XAF. Frais: 220 XAF. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.",success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-21,16:51:41,2024-06-21 16:51:41,received,MobileMoney,MobileMoney,SMS,receive,800.0,XAF,Vous avez recu 800 XAF de PAUL KAMGA MUWUH sur votre compte Mobile Money 2024-06-21 16:51:40. Message de l'expediteur: . Votre nouveau solde est de 829 FCFA. Frais: 0 XAF. Transaction ID: 9263724728. Profitez jusqu'a 200 Mo de BONUS en envoyant de l'argent a tous les operateurs avec l'application MoMo. Telechargez l'application ici sur onelink.to/8738x9. Plus d'infos au 8787 ou WhatsApp 650528787.,success
Messages with MobileMoney 2026-03-20 190409.csv,msg_2026-03-20_190409,2024-06-22,19:54:39,2024-06-22 19:54:39,received,MobileMoney,MobileMoney,SMS,receive,450.0,XAF,Vous avez recu 450 XAF de KLOUVIS TAHKEPE MANDZE (237677141177) sur votre compte mobile money à 2024-06-22 19:54:36. Message de l'expéditeur: Debt . Votre nouveau solde: 729 XAF. FRAIS: FCFA 0. Financial Transaction Id: 9273244971.,success
