,count,unique,top,freq,mean,std,min,25%,50%,75%,max
user_id,14,14,msg_2026-03-20_190409,1,,,,,,,
total_transactions,14.0,,,,161.5,260.3606226873677,6.0,39.25,79.0,191.25,1028.0
total_transaction_volume,14.0,,,,237676438289.66428,611309218844.6125,5078.0,660991.4750000001,1612769.0,3290560.5,1901407283012.0
avg_transaction_amount,14.0,,,,3008560511.349864,7738092214.626607,846.3333333333334,6169.134530502752,13585.825410489397,41985.53265224359,24068446620.405064
deposit_amount,14.0,,,,12994.235714285713,41158.23033695891,0.0,0.0,0.0,3176.75,155213.0
withdraw_amount,14.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transfer_amount,14.0,,,,43571.42857142857,163029.35756657892,0.0,0.0,0.0,0.0,610000.0
payment_amount,14.0,,,,475.2857142857143,657.5756673127117,0.0,0.0,100.0,893.75,2005.0
airtime_amount,14.0,,,,16977507300.0,63523076246.15296,0.0,4576.5,32698.5,398644.5,237681838513.0
weekend_txn_count,14.0,,,,48.92857142857143,81.46303011013813,3.0,11.0,24.5,50.0,321.0
business_txn_count,14.0,,,,49.5,103.06439361277604,0.0,2.0,7.0,27.75,387.0
months_active,14.0,,,,8.785714285714286,5.577131485306367,1.0,5.25,7.0,11.25,20.0
transactions_per_month,14.0,,,,14.13645721446473,12.349341010445952,1.6666666666666667,6.1,11.683333333333334,17.848214285714285,51.4
deposit_withdraw_ratio,14.0,,,,12994.235714285713,41158.23033695891,0.0,0.0,0.0,3176.75,155213.0
weekend_ratio,14.0,,,,0.3221860225525659,0.09141205566864195,0.1794871794871795,0.2620635503344755,0.2999192543424633,0.36125395569620256,0.5
weekend_activity,14.0,,,,0.9285714285714286,0.26726124191242434,0.0,1.0,1.0,1.0,1.0
business_usage,14.0,,,,0.9285714285714286,0.26726124191242434,0.0,1.0,1.0,1.0,1.0
volume_norm,14.0,,,,0.12500027530656915,0.32150356524817714,0.0,3.449621144359413e-07,8.455268992905396e-07,1.7279214916910837e-06,1.0
count_norm,14.0,,,,0.15215264187866925,0.2547559908878353,0.0,0.03253424657534243,0.0714285714285714,0.18126223091976512,1.0
avg_amount_norm,14.0,,,,0.12500016383515583,0.32150361046423026,0.0,2.211526762938521e-07,5.293026478211554e-07,1.7092586577912052e-06,1.0
freq_norm,14.0,,,,0.2507330539101488,0.2483111463226398,0.0,0.08914209115281493,0.20140750670241286,0.32536623898889316,1.0
activity_score,14.0,,,,0.15693490037602745,0.20061331210134892,0.0009785636907652,0.0293235860661865,0.07309362581977699,0.13052148095311353,0.6141037916507085
activity_level,14,3,high,5,,,,,,,
activity_threshold_low,14.0,,,,0.0413171240197487,0.0,0.0413171240197487,0.0413171240197487,0.0413171240197487,0.0413171240197487,0.0413171240197487
activity_threshold_high,14.0,,,,0.1161801706267296,0.0,0.1161801706267296,0.1161801706267296,0.1161801706267296,0.1161801706267296,0.1161801706267296
